stage_fim_colnames,merge_colnames,include
oid,,
ahps_lid,,y
name,,
nwm_seg,,y
nwm_feature_data_stream_order,,y
usgs_gage,,y
usgs_data_name,,y
huc8,,y
identifiers_goes_id,,y
nws_data_wfo,,y
nws_data_hsa,,y
nws_data_rfc,,y
states,,y
nws_data_county,,y
mapped,stage_mapped,y
status,stage_status,y
nws_data_map_link,,y
nws_data_horizontal_datum_name,,
nws_data_zero_datum,,y
nws_data_vertical_datum_name,,
usgs_preferred_latlon_datum_name,,
nws_data_rfc_forecast_point,,y
nws_data_rfc_defined_fcst_point,,y
usgs_data_coord_accuracy_code,,y
usgs_data_latlon_datum_name,,y
usgs_data_coord_method_code,,y
usgs_data_alt_accuracy_code,,y
usgs_data_alt_datum_code,,y
usgs_data_alt_method_code,,y
usgs_data_site_type,,
usgs_data_altitude,,y
wrds_timestamp,,
nrldb_timestamp,,y
nwis_timestamp,,y
